Year,Temperature F
1880,56.840
1881,56.984
1882,57.020
1883,56.822
1884,56.696
1885,56.624
1886,56.642
1887,56.606
1888,56.840
1889,56.984
1890,56.534
1891,56.768
1892,56.714
1893,56.660
1894,56.642
1895,56.822
1896,56.930
1897,57.002
1898,56.696
1899,56.912
1900,57.038
1901,56.930
1902,56.714
1903,56.570
1904,56.408
1905,56.696
1906,56.786
1907,56.480
1908,56.426
1909,56.354
1910,56.444
1911,56.408
1912,56.570
1913,56.588
1914,56.912
1915,57.002
1916,56.588
1917,56.480
1918,56.732
1919,56.804
1920,56.714
1921,56.822
1922,56.696
1923,56.768
1924,56.696
1925,56.822
1926,57.020
1927,56.822
1928,56.822
1929,56.552
1930,56.930
1931,57.038
1932,56.894
1933,56.696
1934,56.948
1935,56.840
1936,56.930
1937,57.146
1938,57.146
1939,57.146
1940,57.344
1941,57.416
1942,57.362
1943,57.434
1944,57.650
1945,57.416
1946,57.128
1947,57.110
1948,57.038
1949,57.038
1950,56.876
1951,57.074
1952,57.218
1953,57.344
1954,56.966
1955,56.930
1956,56.840
1957,57.272
1958,57.326
1959,57.254
1960,57.164
1961,57.290
1962,57.254
1963,57.308
1964,56.840
1965,57.020
1966,57.110
1967,57.164
1968,57.074
1969,57.326
1970,57.236
1971,57.038
1972,57.218
1973,57.470
1974,57.074
1975,57.164
1976,57.002
1977,57.524
1978,57.326
1979,57.506
1980,57.686
1981,57.794
1982,57.434
1983,57.740
1984,57.470
1985,57.416
1986,57.542
1987,57.794
1988,57.938
1989,57.704
1990,57.992
1991,57.974
1992,57.614
1993,57.632
1994,57.776
1995,58.028
1996,57.830
1997,58.064
1998,58.352
1999,57.956
2000,57.956
2001,58.190
2002,58.334
2003,58.316
2004,58.190
2005,58.442
2006,58.334
2007,58.388
2008,58.172
2009,58.352
2010,58.478
2011,58.280
2012,58.334
2013,58.370
2014,58.532
2015,58.766
2016,58.982
